Area,Year,"Stock, large animals","Stock, cattle","Stock, horse","Stock, donkey","Stock, mule","Stock, camel","Slaughtered, pig","Stock, pig","Stock, goat & sheep","Stock, goat","Stock, sheep","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, birds","Meat Production, livestocks","Meat Production, pig, cattle, goat & sheep","Meat Production, pig","Meat Production, cattle","Meat Production, goat & sheep","Milk Production, total","Milk Production, cow","Wool Production, sheep","Wool Production, sheep, fine","Wool Production, sheep, semi-fine","Wool Production, goat, thick","Wool Production, goat, cashmere","Egg Production, birds",Honey Production
Yunnan,2013,881.6596798,730.3822798,58.5789,33.5596,59.1389,,3323.66,2708.65,929.0596067,845.5302127,83.52939398,275.7,792.4,19981.6,359.4007216,321.7596516,275.9636,31.79628,13.99977159,59.3017,54.51,1741.475,161,1487.947,632.44,10.56,23.24,0.7302
Xizang,2013,659.3502107,617.9102107,32.11,7.77,1.56,,18.348894,36.9794625,1558.643263,563.3684174,995.2748451,134.5,532.5,161.6,26.82479724,26.00785283,1.4974008,15.94355954,8.566892489,32.973086,26.967066,8027.92,369.4086,2885.23,825.29,922.99,0.468520131,0.005546
Shaanxi,2013,160.8781898,143.1272898,0.6657,13.0354,4.0498,,1186.5508,897.9,638.8380796,526.4,112.4380796,52,452.8,5022.3,112.5645849,102.9039849,88.343,7.5225,7.038484944,188.5482,141.091,6854,2634,2581,3113.47,1714,55.4,0.5308137
Gansu,2013,597.1558795,432.1358795,14.9,103.85,44.06,2.21,696.7,608.85,1825.441494,398.5,1426.941494,164.1,1033,3471.2,91.0108,84.516,50.787,17.16,16.569,39.14587164,38.50387164,29991,9602,6390,2003,400,14.5,0.1189
Qinghai,2013,484.6881994,452.1881994,19.36,5.21,6.87,1.06,137.69,120.83,1460.21,191.76,1268.45,105.4,622.8,404.2,31.80767015,30.70927875,9.90256,10.277,10.52971875,28.7436,27.55,17928,444,6699,955,425,2.26,0.1531
Ningxia,2013,105.2509,95.8,0.2266,6.8358,2.3574,0.0311,95.5895,75.31,570.11,103.21,466.9,59.5,521.4,1211.7,27.3717593,24.79887272,7.092271,8.67,9.036601723,104.19,104.19,9237,1648,2107,844,476,7.44,0.1037
Xinjiang,2013,564.91545,371.13545,87.52,90.31,0.91,15.04,439.5728,274.72005,3663.224243,525.8342432,3137.39,230.3,3107.5,6402.9,139.3968581,118.8635581,31.32585,37.82336,49.71434811,139.18641,134.98641,91620,28574,13687,3909,1227.28,28.17,1.2805
Beijing,2014,20.3242,19.68,0.1932,0.3728,0.0782,,305.76,179.6,68.35,17.19,51.16,9.2,68.7,7550.7,39.29524,26.88,24.01,1.7,1.17,59.48,59.48,260.4,20.2,45.1,55.7,31.4,19.65,0.2321
Tianjin,2014,30.379,29.96,0.0568,0.2594,0.1028,,386.5,199.78,46.76,5.58,41.18,19.4,67.1,8136.1,46.43604813,34.8,29.87,3.36,1.57,68.905,68.9,837.783,99.562,738.221,1.372,,19.42,0.0045263
Hebei,2014,488.231,402.421,17.06,49.92,18.79,0.04,3638.408,1915.45435,1526.3999,481.5612,1044.8387,320.6,2189.3,59627.5,468.127975,364.0612,281.218,52.4046,30.4386,496.1234,487.77,36145,6472,22798,3153,877,362.7128,1.3161
Shanxi,2014,123.8718,100.9,1.205,13.5568,8.2079,0.0021,837.255501,514.7382843,922.7422711,397.7422711,525,39.8,469.9,7592,87.47931749,76.66486149,64.16486149,5.8,6.7,97.190508,96.2,8596.31,3165.23,4118.18,1448.9,1099.18,83.66474791,0.46264
Neimenggu,2014,839.8571,630.6,81.7229,88.9367,24.7737,13.8238,930.07612,669.441,5569.27989,1553.096202,4016.183688,336.8,5665.7,11534.9,252.326776,221.1627874,73.3,54.53090655,93.33188086,797.0836622,788.0156622,121525,63040,21891,10450,8283,53.54,0.2225
