Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
Zhejiang,2015,Rural,151.5,137.6,11.2,10.5,85.3,26.4,22.5,1.1,0.4,8.3,19.6,6.8,9,34,1.5
Anhui,2015,Rural,173.2,160,10.3,9.4,92.9,21,17.4,1,0.5,10.8,9.4,10.2,7.6,33.9,1.1
Fujian,2015,Rural,157.5,148.4,9.4,7.6,87.4,29.9,25.8,0.8,0.4,12.2,20.1,7.3,6.9,28.8,1.8
Jiangxi,2015,Rural,181.5,174.5,11.7,11,103.8,20.1,17.6,0.7,0.1,6.1,7.9,6.3,5.8,24.7,1.2
Shandong,2015,Rural,142.2,133.9,8.4,8.4,76.7,15.1,10.7,0.2,0.5,5.2,6.4,14.1,11.6,45.6,0.8
Henan,2015,Rural,132.5,125.5,7.6,7.5,67.7,12.8,9.7,0.7,0.5,3.9,2.5,10.7,5,39.1,1.1
Hubei,2015,Rural,152.1,141.8,16,15.2,123.1,26.9,24.1,0.8,0.4,4.3,11.7,8.3,3.6,22.4,0.8
Hunan,2015,Rural,187.9,179.6,11.7,7.9,103.9,27.2,25.1,0.7,0.3,9.1,8.7,7.3,2.9,42.3,2.1
Guangdong,2015,Rural,161.4,153.8,9,8.3,101.7,36,31.7,0.8,0.2,20,18.7,6.2,2.6,23.3,1.9
Guangxi,2015,Rural,172.2,167,7.4,5.3,87.4,27.7,26.1,0.4,0.2,17.6,7,5.2,2,27.9,1.2
Hainan,2015,Rural,112.8,110,6.7,4.7,74.7,24.2,21.9,0.8,0.3,16.3,21.5,3.8,1.3,14.3,1
Chongqing,2015,Rural,197.1,181.8,13.4,12,134.7,36,33.6,0.4,0.3,6.4,7.1,10.3,7.6,28.3,3.4
Sichuan,2015,Rural,187.6,177.3,12.2,10.9,125,36.2,34.4,0.4,0.2,9.2,4.9,8.4,6.2,23.8,1.9
Guizhou,2015,Rural,152.7,141.7,7.1,5.3,92.3,33,31.6,0.8,0.3,3.6,1.1,3.5,1.5,20.5,1
